C1_00010W_A	C1_00010W_B
C2_04030C_A	C2_04030C_B
C2_04040C_A	C2_04040C_B
C2_04050C_A	C2_04050C_B
C2_04060C_A	C2_04060C_B
C2_04090W_A	C2_04090W_B
C2_04100W_A	C2_04100W_B
C2_04110W_A	C2_04110W_B
C2_04120C_A	C2_04120C_B
C2_04130W_A	C2_04130W_B
C2_04140W_A	C2_04140W_B
C2_04150C_A	C2_04150C_B
C2_04160W_A	C2_04160W_B
C2_04170C_A	C2_04170C_B
C2_04180C_A	C2_04180C_B
C2_04190C_A	C2_04190C_B
C2_04200W_A	C2_04200W_B
C2_04210W_A	C2_04210W_B
C2_04220C_A	C2_04220C_B
C2_04230W_A	C2_04230W_B
C2_04240C_A	C2_04240C_B
C2_04250W_A	C2_04250W_B
C2_04270W_A	C2_04270W_B
C2_04280W_A	C2_04290W_B	C2_04290W_A	C2_04280W_B
C2_04300C_A	C2_04300C_B
C2_04310W_A	C2_04310W_B
C2_04320W_A	C2_04320W_B
C2_04330C_A	C2_04330C_B
C2_04340C_A	C2_04340C_B
C2_04350C_A	C2_04350C_B
C2_04360W_A	C2_04360W_B
C2_04370W_A	C2_04370W_B
C2_04380C_A	C2_04380C_B
C2_04390W_A	C2_04390W_B
C2_04400W_A	C2_04400W_B
C2_04410W_A	C2_04410W_B
C2_04420W_A	C2_04420W_B
C2_04430W_A	C2_04430W_B
C2_04440W_A	C2_04440W_B
C2_04450W_A	C2_04450W_B
C2_04470W_A	C2_04470W_B
C2_04480W_A	C2_04480W_B
C2_04490W_A	C2_04490W_B
C2_04500W_A	C2_04500W_B
C2_04510W_A	C2_04510W_B
C2_04520C_A	C2_04520C_B
C2_04530W_A	C2_04530W_B
C2_04540C_A	C2_04540C_B
C2_04550C_A	C2_04550C_B
C2_04560W_A	C2_04560W_B
C2_04570W_A	C2_04570W_B
C2_04580W_A	C2_04580W_B
C2_04590C_A	C2_04590C_B
C2_04600C_A	C2_04600C_B
C2_04620W_A	C2_04620W_B
C2_04640C_A	C2_04640C_B
C2_04650C_A	C2_04650C_B
C2_04660C_A	C2_04660C_B
C2_04680W_A	C2_04680W_B
C2_04690C_A	C2_04690C_B
C2_04700C_A	C2_04700C_B
C2_04710C_A	C2_04710C_B
C2_04720C_A	C2_04720C_B
C2_04730W_A	C2_04730W_B
C2_04740C_A	C2_04740C_B
C2_04750W_A	C2_04750W_B
C2_04760W_A	C2_04760W_B
C2_04770W_A	C2_04770W_B
C2_04780W_A	C2_04780W_B
C2_04790C_A	C2_04790C_B
C2_04800C_A	C2_04800C_B
C2_04810W_A	C2_04810W_B
C2_04820W_A	C2_04820W_B
C2_04830W_A	C2_04830W_B
C2_04850C_A	C2_04850C_B
C2_04860W_A	C2_04860W_B
C2_04870C_A	C2_04870C_B
C2_04880C_A	C2_04880C_B
C2_04910W_A	C2_04910W_B
C2_04930C_A	C2_04930C_B
C2_04940C_A	C2_04940C_B
C2_04950C_A	C2_04950C_B
C2_04960C_A	C2_04960C_B
C2_04970W_A	C2_04970W_B
C2_04980C_A	C2_04980C_B
C2_04990W_A	C2_04990W_B
C2_05000C_A	C2_05000C_B
C2_05020W_A	C2_05020W_B
C2_05030C_A	C2_05030C_B
C2_05040C_A	C2_05040C_B
C2_05050C_A	C2_05050C_B
C2_05060C_A	C2_05060C_B
C2_05070W_A	C2_05070W_B
C2_05080C_A	C2_05080C_B
C2_05100C_A	C2_05100C_B
C2_05110W_A	C2_05110W_B
C2_05120C_A	C2_05120C_B
C2_05130W_A	C2_05130W_B
C2_05140W_A	C2_05140W_B
C2_05150W_A	C2_05150W_B
C2_05160C_A	C2_05160C_B
C2_05170W_A	C2_05170W_B
C2_05180W_A	C2_05180W_B
C2_05190W_A	C2_05190W_B
C2_05200C_A	C2_05200C_B
C2_05210W_A	C2_05210W_B
C2_05220C_A	C2_05220C_B
C2_05230C_A	C2_05230C_B
C2_05250C_A	C2_05250C_B
C2_05260W_A	C2_05260W_B
C2_05270W_A	C2_05270W_B
C2_05280C_A	C2_05280C_B
C2_05290C_A	C2_05290C_B
C2_05300C_A	C2_05300C_B
C2_05320W_A	C2_05320W_B
C2_05330C_A	C2_05330C_B
C2_05340C_A	C2_05340C_B
C2_05350C_A	C2_05350C_B
C2_05360C_A	C2_05360C_B
C2_05370C_A	C2_05370C_B
C2_05380W_A	C2_05380W_B
C2_05390C_A	C2_05390C_B
C2_05400W_A	C2_05400W_B
C2_05410W_A	C2_05410W_B
C2_05440W_A	C2_05440W_B
C2_05450C_A	C2_05450C_B
C2_05460W_A	C2_05460W_B
C2_05470W_A	C2_05470W_B
C2_05480C_A	C2_05480C_B
C2_05490W_A	C2_05490W_B
C2_05500W_A	C2_05500W_B
C2_05510C_A	C2_05510C_B
C2_05520W_A	C2_05520W_B
C2_05530C_A	C2_05530C_B
C2_05540C_A	C2_05540C_B
C2_05550W_A	C2_05550W_B
C2_05560W_A	C2_05560W_B
C2_05570C_A	C2_05570C_B
C2_05580W_A	C2_05580W_B
C2_05590C_A	C2_05590C_B
C2_05610C_A	C2_05610C_B
C2_05620W_A	C2_05620W_B
C2_05640W_A	C2_05640W_B
C2_05650W_A	C2_05650W_B
C2_05660W_A	C2_05660W_B
C2_05670C_A	C2_05670C_B
C2_05680W_A	C2_05680W_B
C2_05690C_A	C2_05690C_B
C2_05700W_A	C2_05700W_B
C2_05710C_A	C2_05710C_B
C2_05720C_A	C2_05720C_B
C2_05730C_A	C2_05730C_B
C2_05740W_A	C2_05740W_B
C2_05750W_A	C2_05750W_B
C2_05760C_A	C2_05760C_B
C2_05770W_A	C2_05770W_B
C2_05780C_A	C2_05780C_B
C2_05790C_A	C2_05790C_B
C2_05800C_A	C2_05800C_B
C2_05810W_A	C2_05810W_B
C2_05820W_A	C2_05820W_B
C2_05830C_A	C2_05830C_B
C2_05840W_A	C2_05840W_B
C2_05850C_A	C2_05850C_B
C2_05860C_A	C2_05860C_B
C2_05870W_A	C2_05870W_B
C2_05890C_A	C2_05890C_B
C2_05900W_A	C2_05900W_B
C2_05920C_A	C2_05920C_B
C2_05930W_A	C2_05930W_B
C2_05940C_A	C2_05940C_B
C2_05950C_A	C2_05950C_B
C2_05960C_A	C2_05960C_B
C2_05970C_A	C2_05970C_B
C2_05980C_A	C2_05980C_B
C2_05990C_A	C2_05990C_B
C2_06000W_A	C2_06000W_B
C2_06010W_A	C2_06010W_B
C2_06020W_A	C2_06020W_B
C2_06030W_A	C2_06030W_B
C2_06040C_A	C2_06040C_B
C2_06060C_A	C2_06060C_B
C2_06070W_A	C2_06070W_B
C2_06080C_A	C2_06080C_B
C2_06090W_A	C2_06090W_B
C2_06100W_A	C2_06100W_B
C2_06110W_A	C2_06110W_B
C2_06120C_A	C2_06120C_B
C2_06130W_A	C2_06130W_B
C2_06140C_A	C2_06140C_B
C2_06150C_A	C2_06150C_B
C2_06160W_A	C2_06160W_B
C2_06170C_A	C2_06170C_B
C2_06180C_A	C2_06180C_B
C2_06190W_A	C2_06190W_B
C2_06200C_A	C2_06200C_B
C2_06210C_A	C2_06210C_B
C2_06220C_A	C2_06220C_B
C2_06230W_A	C2_06230W_B
C2_06240W_A	C2_06240W_B
C2_06250C_A	C2_06250C_B
C2_06260W_A	C2_06260W_B
C2_06270W_A	C2_06270W_B
C2_06280C_A	C2_06280C_B
C2_06290C_A	C2_06290C_B
C2_06300W_A	C2_06300W_B
C2_06310C_A	C2_06310C_B
C2_06320W_A	C2_06320W_B
C2_06330C_A	C2_06330C_B
C2_06340W_A	C2_06340W_B
C2_06350C_A	C2_06350C_B
C2_06360C_A	C2_06360C_B
C2_06370C_A	C2_06370C_B
C2_06390C_A	C2_06390C_B
C2_06420C_A	C2_06420C_B
C2_06430C_A	C2_06430C_B
C2_06440C_A	C2_06440C_B
C2_06460W_A	C2_06460W_B
C2_06470W_A	C2_06470W_B
C2_06480W_A	C2_06480W_B
C2_06490W_A	C2_06490W_B
C2_06510W_A	C2_06510W_B
C2_06520C_A	C2_06520C_B
C2_06530W_A	C2_06530W_B
C2_06540C_A	C2_06540C_B
C2_06550W_A	C2_06550W_B
C2_06570C_A	C2_06570C_B
C2_06590C_A	C2_06590C_B
C2_06600W_A	C2_06600W_B
C2_06610C_A	C2_06610C_B
C2_06620W_A	C2_06620W_B
C2_06630C_A	C2_06630C_B
C2_06640C_A	C2_06640C_B
C2_06650C_A	C2_06650C_B
C2_06660W_A	C2_06660W_B
C2_06670C_A	C2_06670C_B
C2_06680W_A	C2_06680W_B
C2_06690C_A	C2_06690C_B
C2_06700W_A	C2_06700W_B
C2_06710W_A	C2_06710W_B
C2_06720W_A	C2_06720W_B
C2_06730W_A	C2_06730W_B
C2_06740W_A	C2_06740W_B
C2_06750C_A	C2_06750C_B
C2_06760C_A	C2_06760C_B
C2_06770W_A	C2_06770W_B
C2_06780C_A	C2_06780C_B
C2_06790W_A	C2_06790W_B
C2_06800C_A	C2_06800C_B
C2_06810C_A	C2_06810C_B
C2_06820C_A	C2_06820C_B
C2_06830C_A	C2_06830C_B
C2_06840W_A	C2_06840W_B
C2_06850W_A	C2_06850W_B
C2_06860W_A	C2_06860W_B
C2_06870C_A	C2_06870C_B
C2_06880C_A	C2_06880C_B
C2_06890C_A	C2_06890C_B
C2_06910W_A	C2_06910W_B
C2_06920C_A	C2_06920C_B
C2_06930C_A	C2_06930C_B
C2_06940C_A	C2_06940C_B
C2_06950C_A	C2_06950C_B
C2_06960W_A	C2_06960W_B
C2_06970W_A	C2_06970W_B
C2_06980W_A	C2_06980W_B
C2_06990W_A	C2_06990W_B
C2_07000W_A	C2_07000W_B
C2_07010W_A	C2_07010W_B
C2_07020C_A	C2_07020C_B
C2_07030C_A	C2_07030C_B
C2_07040W_A	C2_07040W_B
C2_07060W_A	C2_07060W_B
C2_07070W_A	C2_07070W_B
C2_07080C_A	C2_07080C_B
C2_07090C_A	C2_07090C_B
C2_07100W_A	C2_07100W_B
C2_07110C_A	C2_07110C_B
C2_07120W_A	C2_07120W_B
C2_07130C_A	C2_07130C_B
C2_07140W_A	C2_07140W_B
C2_07160W_A	C2_07160W_B
C2_07170C_A	C2_07170C_B
C2_07180W_A	C2_07180W_B
C2_07190C_A	C2_07190C_B
C2_07200W_A	C2_07200W_B
C2_07210C_A	C2_07210C_B
C2_07220W_A	C2_07220W_B
C2_07230C_A	C2_07230C_B
C2_07240C_A	C2_07240C_B
C2_07250C_A	C2_07250C_B
C2_07260C_A	C2_07260C_B
C2_07270W_A	C2_07270W_B
C2_07280W_A	C2_07280W_B
C2_07290W_A	C2_07290W_B
C2_07300C_A	C2_07300C_B
C2_07310W_A	C2_07310W_B
C2_07320W_A	C2_07320W_B
C2_07330W_A	C2_07330W_B
C2_07340W_A	C2_07340W_B
C2_07350W_A	C2_07350W_B
C2_07360W_A	C2_07360W_B
C2_07370W_A	C2_07370W_B
C2_07380W_A	C2_07380W_B
C2_07400C_A	C2_07400C_B
C2_07410W_A	C2_07410W_B
C2_07420W_A	C2_07420W_B
C2_07430C_A	C2_07430C_B
C2_07440C_A	C2_07440C_B
C2_07450C_A	C2_07450C_B
C2_07460W_A	C2_07460W_B
C2_07470W_A	C2_07470W_B
C2_07480W_A	C2_07480W_B
C2_07490W_A	C2_07490W_B
C2_07500C_A	C2_07500C_B
C2_07510W_A	C2_07510W_B
C2_07520C_A	C2_07520C_B
C2_07530C_A	C2_07530C_B
C2_07540W_A	C2_07540W_B
C2_07550W_A	C2_07550W_B
C2_07560W_A	C2_07560W_B
C2_07570W_A	C2_07570W_B
C2_07580W_A	C2_07580W_B
C2_07590W_A	C2_07590W_B
C2_07600C_A	C2_07600C_B
C2_07610C_A	C2_07610C_B
C2_07620W_A	C2_07620W_B
C2_07630C_A	C2_07630C_B
C2_07640W_A	C2_07640W_B
C2_07650C_A	C2_07650C_B
C2_07660W_A	C2_07660W_B
C2_07670C_A	C2_07670C_B
C2_07680W_A	C2_07680W_B
C2_07690W_A	C2_07690W_B
C2_07700C_A	C2_07700C_B
C2_07710W_A	C2_07710W_B
C2_07720C_A	C2_07720C_B
C2_07730W_A	C2_07730W_B
C2_07740W_A	C2_07740W_B
C2_07750W_A	C2_07750W_B
C2_07760W_A	C2_07760W_B
C2_07770C_A	C2_07770C_B
C2_07790C_A	C2_07790C_B
C2_07800W_A	C2_07800W_B
C2_07810W_A	C2_07810W_B
C2_07820C_A	C2_07820C_B
C2_07830W_A	C2_07830W_B
C2_07840W_A	C2_07840W_B
C2_07860W_A	C2_07860W_B
C2_07870C_A	C2_07870C_B
C2_07880W_A	C2_07880W_B
C2_07890W_A	C2_07890W_B
C2_07900W_A	C2_07900W_B
C2_07910C_A	C2_07910C_B
C2_07920W_A	C2_07920W_B
C2_07930C_A	C2_07930C_B
C2_07940C_A	C2_07940C_B
C2_07950W_A	C2_07950W_B
C2_07960C_A	C2_07960C_B
C2_07980W_A	C2_07980W_B
C2_08000C_A	C2_08000C_B
C2_08020C_A	C2_08020C_B
C2_08030W_A	C2_08030W_B
C2_08040C_A	C2_08040C_B
C2_08050C_A	C2_08050C_B
C2_08060W_A	C2_08060W_B
C2_08070C_A	C2_08070C_B
C2_08080C_A	C2_08080C_B
C2_08090W_A	C2_08090W_B
C2_08100W_A	C2_08100W_B
C2_08110W_A	C2_08110W_B
C2_08120W_A	C2_08120W_B
C2_08130W_A	C2_08130W_B
C2_08140C_A	C2_08140C_B
C2_08150W_A	C2_08150W_B
C2_08160C_A	C2_08160C_B
C2_08170W_A	C2_08170W_B
C2_08180C_A	C2_08180C_B
C2_08190W_A	C2_08190W_B
C2_08200W_A	C2_08200W_B
C2_08210C_A	C2_08210C_B
C2_08240W_A	C2_08240W_B
C2_08260W_A	C2_08260W_B
C2_08270C_A	C2_08270C_B
C2_08280W_A	C2_08280W_B
C2_08290C_A	C2_08290C_B
C2_08310W_A	C2_08310W_B
C2_08320C_A	C2_08320C_B
C2_08330W_A	C2_08330W_B
C2_08340C_A	C2_08340C_B
C2_08350C_A	C2_08350C_B
C2_08360C_A	C2_08360C_B
C2_08380C_A	C2_08380C_B
C2_08390W_A	C2_08390W_B
C2_08400C_A	C2_08400C_B
C2_08420W_A	C2_08420W_B
C2_08430C_A	C2_08430C_B
C2_08440W_A	C2_08440W_B
C2_08450W_A	C2_08450W_B
C2_08460C_A	C2_08460C_B
C2_08470C_A	C2_08470C_B
C2_08480W_A	C2_08480W_B
C2_08490W_A	C2_08490W_B
C2_08500W_A	C2_08500W_B
C2_08510W_A	C2_08510W_B
C2_08520C_A	C2_08520C_B
C2_08530C_A	C2_08530C_B
C2_08540C_A	C2_08540C_B
C2_08550C_A	C2_08550C_B
C2_08560W_A	C2_08560W_B
C2_08570W_A	C2_08570W_B
C2_08580W_A	C2_08580W_B
C2_08590W_A	C2_08590W_B
C2_08610W_A	C2_08610W_B
C2_08620W_A	C2_08620W_B
C2_08640C_A	C2_08640C_B
C2_08650W_A	C2_08650W_B
C2_08660C_A	C2_08660C_B
C2_08670C_A	C2_08670C_B
C2_08680W_A	C2_08680W_B
C2_08690C_A	C2_08690C_B
C2_08700C_A	C2_08700C_B
C2_08710W_A	C2_08710W_B
C2_08720W_A	C2_08720W_B
C2_08740W_A	C2_08740W_B
C2_08750W_A	C2_08750W_B
C2_08760C_A	C2_08760C_B
C2_08770C_A	C2_08770C_B
C2_08780W_A	C2_08780W_B
C2_08790W_A	C2_08790W_B
C2_08800C_A	C2_08800C_B
C2_08810C_A	C2_08810C_B
C2_08820C_A	C2_08820C_B
C2_08830W_A	C2_08830W_B
C2_08840W_A	C2_08840W_B
C2_08850C_A	C2_08850C_B
C2_08860W_A	C2_08860W_B
C2_08870C_A	C2_08870C_B
C2_08880W_A	C2_08880W_B
C2_08890W_A	C2_08890W_B
C2_08900W_A	C2_08900W_B
C2_08910C_A	C2_08910C_B
C2_08920W_A	C2_08920W_B
C2_08930W_A	C2_08930W_B
C2_08940C_A	C2_08940C_B
C2_08950W_A	C2_08950W_B
C2_08960C_A	C2_08960C_B
C2_08970C_A	C2_08970C_B
C2_08980C_A	C2_08980C_B
C2_08990C_A	C2_08990C_B
C2_09000C_A	C2_09000C_B
C2_09010W_A	C2_09010W_B
C2_09020W_A	C2_09020W_B
C2_09030W_A	C2_09030W_B
C2_09040W_A	C2_09040W_B
C2_09050C_A	C2_09050C_B
C2_09060C_A	C2_09060C_B
C2_09070C_A	C2_09070C_B
C2_09080C_A	C2_09080C_B
C2_09100C_A	C2_09100C_B
C2_09110C_A	C2_09110C_B
C2_09120C_A	C2_09120C_B
C2_09130C_A	C2_09130C_B
C2_09140C_A	C2_09140C_B
C2_09150W_A	C2_09150W_B
C2_09160W_A	C2_09160W_B
C2_09170W_A	C2_09170W_B
C2_09180W_A	C2_09180W_B
C2_09210W_A	C2_09210W_B
C2_09220W_A	C2_09220W_B
C2_09230C_A	C2_09230C_B
C2_09240C_A	C2_09240C_B
C2_09250W_A	C2_09250W_B
C2_09260C_A	C2_09260C_B
C2_09270C_A	C2_09270C_B
C2_09280C_A	C2_09280C_B
C2_09290W_A	C2_09290W_B
C2_09300W_A	C2_09300W_B
C2_09310C_A	C2_09310C_B
C2_09320C_A	C2_09320C_B
C2_09330C_A	C2_09330C_B
C2_09340W_A	C2_09340W_B
C2_09350W_A	C2_09350W_B
C2_09360W_A	C2_09360W_B
C2_09370C_A	C2_09370C_B
C2_09380W_A	C2_09380W_B
C2_09390W_A	C2_09390W_B
C2_09400C_A	C2_09400C_B
C2_09410W_A	C2_09410W_B
C2_09420W_A	C2_09420W_B
C2_09430W_A	C2_09430W_B
C2_09460C_A	C2_09460C_B
C2_09470C_A	C2_09470C_B
C2_09480W_A	C2_09480W_B
C2_09490W_A	C2_09490W_B
C2_09500W_A	C2_09500W_B
C2_09510C_A	C2_09510C_B
C2_09520C_A	C2_09520C_B
C2_09530W_A	C2_09530W_B
C2_09560C_A	C2_09560C_B
C2_09570C_A	C2_09570C_B
C2_09580W_A	C2_09580W_B
C2_09590C_A	C2_09590C_B
C2_09600C_A	C2_09600C_B
C2_09610W_A	C2_09610W_B
C2_09620W_A	C2_09620W_B
C2_09630C_A	C2_09630C_B
C2_09640W_A	C2_09640W_B
C2_09650W_A	C2_09650W_B
C2_09660W_A	C2_09660W_B
C2_09670C_A	C2_09670C_B
C2_09680W_A	C2_09680W_B
C2_09690C_A	C2_09690C_B
C2_09700W_A	C2_09700W_B
C2_09710C_A	C2_09710C_B
C2_09720W_A	C2_09720W_B
C2_09730C_A	C2_09730C_B
C2_09740W_A	C2_09740W_B
C2_09750W_A	C2_09750W_B
C2_09760W_A	C2_09760W_B
C2_09770C_A	C2_09770C_B
C2_09780C_A	C2_10010C_B	C2_09780C_B	C2_10010C_A
C2_09790W_A	C2_09790W_B
C2_09800C_A	C2_09800C_B
C2_09810C_A	C2_09810C_B
C2_09820W_A	C2_09820W_B
C2_09830C_A	C2_09830C_B
C2_09850C_A	C2_09850C_B
C2_09860C_A	C2_09860C_B
C2_09870W_A	C2_09870W_B
C2_09880C_A	C2_09880C_B
C2_09890W_A	C2_09890W_B
C2_09900C_A	C2_09900C_B
C2_09910C_A	C2_09910C_B
C2_09920W_A	C2_09920W_B
C2_09930W_A	C2_09930W_B
C2_09940W_A	C2_09940W_B
C2_09950W_A	C2_09950W_B
C2_09960W_A	C2_09960W_B
C2_09970C_A	C2_09970C_B
C2_09980W_A	C2_09980W_B
C2_09990C_A	C2_09990C_B
C2_10000C_A	C2_10000C_B
C2_10020C_A	C2_10020C_B
C2_10030C_A	C2_10030C_B
C2_10040W_A	C2_10040W_B
C2_10050W_A	C2_10050W_B
C2_10060C_A	C2_10060C_B
C2_10080W_A	C2_10080W_B
C2_10090C_A	C2_10090C_B
C2_10100W_A	C2_10100W_B
C2_10110W_A	C2_10110W_B
C2_10120W_A	C2_10120W_B
C2_10130W_A	C2_10130W_B
C2_10150W_A	C2_10150W_B
C2_10160W_A	C2_10160W_B
C2_10170C_A	C2_10170C_B
C2_10180W_A	C2_10180W_B
C2_10190C_A	C2_10190C_B
C2_10200W_A	C2_10200W_B
C2_10210C_A	C2_10210C_B
C2_10220C_A	C2_10220C_B
C2_10230W_A	C2_10230W_B
C2_10240W_A	C2_10240W_B
C2_10250C_A	C2_10250C_B
C2_10260C_A	C2_10260C_B
C2_10270W_A	C2_10270W_B
C2_10290W_A	C2_10290W_B
C2_10300C_A	C2_10300C_B
C2_10310C_A	C2_10310C_B
C2_10320C_A	C2_10320C_B
C2_10330C_A	C2_10330C_B
C2_10340W_A	C2_10340W_B
C2_10350C_A	C2_10350C_B
C2_10360C_A	C2_10360C_B
C2_10430C_A	C2_10430C_B
C2_10440C_A	C2_10440C_B
C2_10450W_A	C2_10450W_B
C2_10460C_A	C2_10460C_B
C2_10470C_A	C2_10470C_B
C2_10480W_A	C2_10480W_B
C2_10530C_A	C2_10530C_B
C2_10540W_A	C2_10540W_B
C2_10550C_A	C2_10550C_B
C2_10560C_A	C2_10560C_B
C2_10570W_A	C2_10570W_B
C2_10580W_A	C2_10580W_B
C2_10590W_A	C2_10590W_B
C2_10600W_A	C2_10600W_B
C2_10610W_A	C2_10610W_B
C2_10630W_A	C2_10630W_B
C2_10640C_A	C2_10640C_B
C2_10650W_A	C2_10650W_B
C2_10660W_A	C2_10660W_B
C2_10670W_A	C2_10670W_B
C2_10680W_A	C2_10680W_B
C2_10690W_A	C2_10690W_B
C2_10700C_A	C2_10700C_B
C2_10710W_A	C2_10710W_B
C2_10720C_A	C2_10720C_B
C2_10730W_A	C2_10730W_B
C2_10740C_A	C2_10740C_B
C2_10750C_A	C2_10750C_B
C2_10760C_A	C2_10760C_B
C2_10770W_A	C2_10770W_B
C2_10780C_A	C2_10780C_B
C2_10790C_A	C2_10790C_B
C2_10810W_A	C2_10810W_B
C2_10820C_A	C2_10820C_B
C2_10830W_A	C2_10830W_B
C2_10840W_A	C2_10840W_B
C2_10850C_A	C2_10850C_B
C2_10860C_A	C2_10860C_B
C3_00010C_A	C3_00010C_B
C3_00020W_A	C3_00020W_B
C3_00030C_A	C3_00030C_B	C4_07260W_A	C4_07260W_B
C3_00040W_A	C3_00040W_B
C3_00090W_A	C3_00090W_B
C3_00100W_A	C3_00100W_B
C3_00110C_A	C3_00110C_B
C3_00120W_A	C3_00120W_B
C3_00130C_A	C3_00130C_B
C3_00140W_A	C3_00140W_B
C3_00150W_A	C3_00150W_B
C3_00160C_A	C3_00160C_B
C3_00170C_A	C3_00170C_B
C3_00180C_A	C3_00180C_B
C3_00190W_A	C3_00190W_B
C3_00200C_A	C3_00200C_B
C3_00210C_A	C3_00210C_B
C3_00220W_A	C3_00220W_B
C3_00230C_A	C3_00230C_B
C3_00240C_A	C3_00240C_B
C3_00250C_A	C3_00250C_B
C3_00260C_A	C3_00260C_B
C3_00270C_A	C3_00270C_B
C3_00280C_A	C3_00280C_B
C3_00290W_A	C3_00290W_B
C3_00300W_A	C3_00300W_B
C3_00310C_A	C3_00310C_B
C3_00320W_A	C3_00320W_B
C3_00330W_A	C3_00330W_B
C3_00340W_A	C3_00340W_B
C3_00350W_A	C3_00350W_B
C3_00360W_A	C3_00360W_B
C3_00370C_A	C3_00370C_B
C3_00380C_A	C3_00380C_B
C3_00390W_A	C3_00390W_B
C3_00400C_A	C3_00400C_B
C3_00410C_A	C3_00410C_B
C3_00420W_A	C3_00420W_B
C3_00430W_A	C3_00430W_B
C3_00440W_A	C3_00440W_B
C3_00450C_A	C3_00450C_B
C3_00460W_A	C3_00460W_B
C3_00470W_A	C3_00470W_B
C3_00480C_A	C3_00480C_B
C3_00490W_A	C3_00490W_B
C3_00500C_A	C3_00500C_B
C3_00510W_A	C3_00510W_B
C3_00520W_A	C3_00520W_B
C3_00530C_A	C3_00530C_B
C3_00540C_A	C3_00540C_B
C3_00550C_A	C3_00550C_B
C3_00560C_A	C3_00560C_B
C3_00570C_A	C3_00570C_B
C3_00580W_A	C3_00580W_B
C3_00590W_A	C3_00590W_B
C3_00600W_A	C3_00600W_B
C3_00610W_A	C3_00610W_B
C3_00620C_A	C3_00620C_B
C3_00630W_A	C3_00630W_B
C3_00640W_A	C3_00640W_B
C3_00650W_A	C3_00650W_B
C3_00660W_A	C3_00660W_B
C3_00680C_A	C3_00680C_B	C3_00670C_A	C3_00670C_B
C3_00690C_A	C3_00690C_B
C3_00700W_A	C3_00700W_B
C3_00710W_A	C3_00710W_B
C3_00720W_A	C3_00720W_B
C3_00730W_A	C3_00730W_B
C3_00740W_A	C3_00740W_B
C3_00750W_A	C3_00750W_B
C3_00760W_A	C3_00760W_B
C3_00770C_A	C3_00770C_B
C3_00780W_A	C3_00780W_B
C3_00790W_A	C3_00790W_B
C3_00800W_A	C3_00800W_B
C3_00810C_A	C3_00810C_B
C3_00820W_A	C3_00820W_B
C3_00830C_A	C3_00830C_B
C3_00840C_A	C3_00840C_B
C3_00850C_A	C3_00850C_B
C3_00860W_A	C3_00860W_B
C3_00870W_A	C3_00870W_B
C3_00880W_A	C3_00880W_B
C3_00890C_A	C3_00890C_B
C3_00900C_A	C3_00900C_B
C3_00910W_A	C3_00910W_B
C3_00920W_A	C3_00920W_B
C3_00930W_A	C3_00930W_B
C3_00940W_A	C3_00940W_B
C3_00950C_A	C3_00950C_B
C3_00960W_A	C3_00960W_B
C3_00980W_A	C3_00980W_B
C3_00990C_A	C3_00990C_B
C3_01000W_A	C3_01000W_B
C3_01010W_A	C3_01010W_B
C3_01020W_A	C3_01020W_B
C3_01030W_A	C3_01030W_B
C3_01040C_A	C3_01040C_B	C3_01050C_B	C3_01050C_A
C3_01060W_A	C3_01060W_B
C3_01070C_A	C3_01070C_B
C3_01080W_A	C3_01080W_B
C3_01090W_A	C3_01090W_B
C3_01100W_A	C3_01100W_B
C3_01110C_A	C3_01110C_B
C3_01120W_A	C3_01120W_B
C3_01130C_A	C3_01130C_B
C3_01140W_A	C3_01140W_B
C3_01150C_A	C3_01150C_B
C3_01160W_A	C3_01160W_B
C3_01170W_A	C3_01170W_B
C3_01180C_A	C3_01180C_B
C3_01190C_A	C3_01190C_B
C3_01200W_A	C3_01200W_B
C3_01210C_A	C3_01210C_B
C3_01220W_A	C3_01220W_B
C3_01230C_A	C3_01230C_B
C3_01250W_A	C3_01250W_B
C3_01260C_A	C3_01260C_B
C3_01270W_A	C3_01270W_B
C3_01280W_A	C3_01280W_B
C3_01290W_A	C3_01290W_B
C3_01300C_A	C3_01300C_B
C3_01310W_A	C3_01310W_B
C3_01320C_A	C3_01320C_B
C3_01330W_A	C3_01330W_B
C3_01340W_A	C3_01340W_B
C3_01350C_A	C3_01350C_B
C3_01360C_A	C3_01360C_B
C3_01370C_A	C3_01370C_B
C3_01390C_A	C3_01390C_B
C3_01400W_A	C3_01400W_B
C3_01410C_A	C3_01410C_B
C3_01420C_A	C3_01420C_B
C3_01430W_A	C3_01430W_B
C3_01440C_A	C3_01440C_B
C3_01450C_A	C3_01450C_B
C3_01460C_A	C3_01460C_B
C3_01470W_A	C3_01470W_B
C3_01480C_A	C3_01480C_B
C3_01490W_A	C3_01490W_B
C3_01500C_A	C3_01500C_B
C3_01510W_A	C3_01510W_B
C3_01520C_A	C3_01520C_B
C3_01530C_A	C3_01530C_B
C3_01540W_A	C3_01540W_B
C3_01550C_A	C3_01550C_B
C3_01560W_A	C3_01560W_B
C3_01570W_A	C3_01570W_B
C3_01580W_A	C3_01580W_B
C3_01590W_A	C3_01590W_B
C3_01600W_A	C3_01600W_B
C3_01610W_A	C3_01610W_B
C3_01620W_A	C3_01620W_B
C3_01630W_A	C3_01630W_B
C3_01640C_A	C3_01640C_B
C3_01660W_A	C3_01660W_B
C3_01670W_A	C3_01670W_B
C3_01680C_A	C3_01680C_B
C3_01690W_A	C3_01690W_B
